match_id,date,team,player,event,minute
20260611_mexico_south-africa,2026-06-11,Mexico,Julián Quiñones,goal,9
20260611_mexico_south-africa,2026-06-11,Mexico,Raúl Jiménez,goal,67
20260611_south-korea_czech-republic,2026-06-11,South Korea,In-beom Hwang,goal,67
20260611_south-korea_czech-republic,2026-06-11,South Korea,Hyeon-gyu Oh,goal,80
20260611_south-korea_czech-republic,2026-06-11,Czech Republic,Ladislav Krejčí,goal,59
20260612_canada_bosnia-and-herzegovina,2026-06-12,Bosnia and Herzegovina,Jovo Lukić,goal,36
20260612_canada_bosnia-and-herzegovina,2026-06-12,Canada,Cyle Larin,goal,78
20260612_canada_bosnia-and-herzegovina,2026-06-12,Canada,Promise David,assist,78
20260611_mexico_south-africa,2026-06-11,Mexico,Érik Lira,assist,9
20260611_mexico_south-africa,2026-06-11,Mexico,Roberto Alvarado,assist,67
20260611_south-korea_czech-republic,2026-06-11,South Korea,In-beom Hwang,assist,80
20260612_united-states_paraguay,2026-06-12,United States,Folarin Balogun,goal,30
20260612_united-states_paraguay,2026-06-12,United States,Folarin Balogun,goal,45
20260612_united-states_paraguay,2026-06-12,United States,Giovanni Reyna,goal,98
20260612_united-states_paraguay,2026-06-12,Paraguay,Mauricio Magalhães,goal,73
20260612_united-states_paraguay,2026-06-12,United States,Christian Pulisic,assist,30
20260612_united-states_paraguay,2026-06-12,United States,Malik Tillman,assist,45
20260612_united-states_paraguay,2026-06-12,United States,Alex Freeman,assist,98
20260612_united-states_paraguay,2026-06-12,Paraguay,Julio Enciso,assist,73
20260613_qatar_switzerland,2026-06-13,Switzerland,Breel Embolo,penalty,13
20260613_brazil_morocco,2026-06-13,Morocco,Ismael Saibari,goal,21
20260613_brazil_morocco,2026-06-13,Brazil,Vinicius Junior,goal,32
20260613_haiti_scotland,2026-06-13,Scotland,John McGinn,goal,28
20260614_australia_turkey,2026-06-14,Australia,Nestory Irankunda,goal,27
20260614_australia_turkey,2026-06-14,Australia,Connor Metcalfe,goal,63
20260614_germany_curacao,2026-06-14,Germany,Felix Nmecha,goal,6
20260614_germany_curacao,2026-06-14,Curaçao,Livano Comenencia,goal,21
20260614_germany_curacao,2026-06-14,Germany,Nico Schlotterbeck,goal,38
20260614_germany_curacao,2026-06-14,Germany,Kai Havertz,penalty,45
20260614_germany_curacao,2026-06-14,Germany,Jamal Musiala,goal,47
20260614_germany_curacao,2026-06-14,Germany,Nathaniel Brown,goal,68
20260614_germany_curacao,2026-06-14,Germany,Deniz Undav,goal,78
20260614_germany_curacao,2026-06-14,Germany,Kai Havertz,goal,88
20260614_netherlands_japan,2026-06-14,Netherlands,Virgil van Dijk,goal,51
20260614_netherlands_japan,2026-06-14,Japan,Keito Nakamura,goal,57
20260614_netherlands_japan,2026-06-14,Netherlands,Crysencio Summerville,goal,64
20260614_netherlands_japan,2026-06-14,Japan,Daichi Kamada,goal,88
20260614_ivory-coast_ecuador,2026-06-14,Ivory Coast,Amad Diallo,goal,90
20260614_ivory-coast_ecuador,2026-06-14,Ivory Coast,Wilfried Singo,assist,90
20260614_sweden_tunisia,2026-06-14,Sweden,Yasin Ayari,goal,20
20260614_sweden_tunisia,2026-06-14,Sweden,Alexander Isak,goal,35
20260614_sweden_tunisia,2026-06-14,Sweden,Yasin Ayari,goal,52
20260614_sweden_tunisia,2026-06-14,Sweden,Viktor Gyökeres,goal,70
20260614_sweden_tunisia,2026-06-14,Sweden,Mattias Svanberg,goal,82
20260615_belgium_egypt,2026-06-15,Egypt,Emam Ashour,goal,20
20260615_saudi-arabia_uruguay,2026-06-15,Saudi Arabia,Abdulelah Al-Amri,goal,40
20260615_saudi-arabia_uruguay,2026-06-15,Uruguay,Maximiliano Araújo,goal,79
20260615_iran_new-zealand,2026-06-15,New Zealand,Elijah Just,goal,7
20260615_iran_new-zealand,2026-06-15,Iran,Ramin Rezaeian,goal,31
20260615_iran_new-zealand,2026-06-15,New Zealand,Elijah Just,goal,54
20260615_iran_new-zealand,2026-06-15,Iran,Mohammad Mohebbi,goal,64
20260615_iran_new-zealand,2026-06-15,New Zealand,Chris Wood,assist,7
20260615_iran_new-zealand,2026-06-15,New Zealand,Chris Wood,assist,54
20260615_iran_new-zealand,2026-06-15,Iran,Ramin Rezaeian,assist,64
20260616_france_senegal,2026-06-16,France,Kylian Mbappé,goal,66
20260616_france_senegal,2026-06-16,France,Bradley Barcola,goal,82
20260616_france_senegal,2026-06-16,Senegal,Ibrahim Mbaye,goal,90
20260616_france_senegal,2026-06-16,France,Kylian Mbappé,goal,90
20260616_argentina_algeria,2026-06-16,Argentina,Lionel Messi,goal,17
20260616_argentina_algeria,2026-06-16,Argentina,Lionel Messi,goal,60
20260616_argentina_algeria,2026-06-16,Argentina,Lionel Messi,goal,76
20260616_austria_jordan,2026-06-16,Austria,Romano Schmid,goal,21
20260616_austria_jordan,2026-06-16,Jordan,Ali Olwan,goal,40
20260616_austria_jordan,2026-06-16,Austria,Marko Arnautovic,penalty,75
20260617_portugal_dr-congo,2026-06-17,Portugal,João Neves,goal,12
20260617_portugal_dr-congo,2026-06-17,DR Congo,Yoane Wissa,goal,43
20260617_england_croatia,2026-06-17,England,Harry Kane,penalty,22
20260617_england_croatia,2026-06-17,Croatia,Martin Baturina,goal,30
20260617_england_croatia,2026-06-17,England,Harry Kane,goal,44
20260617_england_croatia,2026-06-17,England,Jude Bellingham,goal,47
20260617_england_croatia,2026-06-17,Croatia,Petar Musa,goal,58
20260617_england_croatia,2026-06-17,England,Marcus Rashford,goal,72
20260617_ghana_panama,2026-06-17,Ghana,Caleb Yirenkyi,goal,90
20260617_ghana_panama,2026-06-17,Ghana,Brandon Thomas-Asante,assist,90
20260617_uzbekistan_colombia,2026-06-17,Colombia,Daniel Muñoz,goal,25
20260617_uzbekistan_colombia,2026-06-17,Colombia,Luis Díaz,goal,55
20260617_uzbekistan_colombia,2026-06-17,Colombia,Jáminton Campaz,goal,90
20260616_iraq_norway,2026-06-16,Norway,Erling Haaland,goal,18
20260616_iraq_norway,2026-06-16,Norway,Erling Haaland,goal,35
20260616_iraq_norway,2026-06-16,Norway,Leo Østigård,goal,70
20260618_mexico_south-korea,2026-06-18,Mexico,Luis Romo,goal,50
20260618_czech-republic_south-africa,2026-06-18,Czech Republic,Michal Sadílek,goal,6
20260618_czech-republic_south-africa,2026-06-18,South Africa,Teboho Mokoena,penalty,83
20260618_canada_qatar,2026-06-18,Canada,Jonathan David,goal,20
20260618_canada_qatar,2026-06-18,Canada,Jonathan David,goal,45
20260618_canada_qatar,2026-06-18,Canada,Jonathan David,goal,70
20260618_switzerland_bosnia-and-herzegovina,2026-06-18,Switzerland,Johan Manzambi,goal,74
20260618_switzerland_bosnia-and-herzegovina,2026-06-18,Switzerland,Rubén Vargas,goal,84
20260618_switzerland_bosnia-and-herzegovina,2026-06-18,Switzerland,Johan Manzambi,goal,90
20260618_switzerland_bosnia-and-herzegovina,2026-06-18,Switzerland,Granit Xhaka,penalty,90
20260619_scotland_morocco,2026-06-19,Morocco,Ismael Saibari,goal,1
20260619_brazil_haiti,2026-06-19,Brazil,Matheus Cunha,goal,25
20260619_brazil_haiti,2026-06-19,Brazil,Matheus Cunha,goal,41
20260619_united-states_australia,2026-06-19,United States,Alex Freeman,goal,60
20260619_turkey_paraguay,2026-06-19,Paraguay,Matías Galarza,goal,2
20260620_germany_ivory-coast,2026-06-20,Germany,Deniz Undav,goal,60
20260620_germany_ivory-coast,2026-06-20,Germany,Deniz Undav,goal,90
20260620_netherlands_sweden,2026-06-20,Netherlands,Brian Brobbey,goal,15
20260620_netherlands_sweden,2026-06-20,Netherlands,Cody Gakpo,goal,30
20260620_netherlands_sweden,2026-06-20,Netherlands,Brian Brobbey,goal,52
20260620_netherlands_sweden,2026-06-20,Netherlands,Cody Gakpo,goal,68
20260620_netherlands_sweden,2026-06-20,Netherlands,Crysencio Summerville,goal,80
20260620_netherlands_sweden,2026-06-20,Sweden,Anthony Elanga,goal,85
20260621_tunisia_japan,2026-06-21,Japan,Daichi Kamada,goal,4
20260621_tunisia_japan,2026-06-21,Japan,Ayase Ueda,goal,30
20260621_tunisia_japan,2026-06-21,Japan,Junya Ito,goal,69
20260621_tunisia_japan,2026-06-21,Japan,Ayase Ueda,goal,83
20260621_spain_saudi-arabia,2026-06-21,Spain,Lamine Yamal,goal,10
20260621_spain_saudi-arabia,2026-06-21,Spain,Mikel Oyarzabal,goal,21
20260621_spain_saudi-arabia,2026-06-21,Spain,Mikel Oyarzabal,goal,24
20260621_uruguay_cape-verde,2026-06-21,Cape Verde,Kevin Pina,goal,15
20260621_uruguay_cape-verde,2026-06-21,Uruguay,Maximiliano Araújo,goal,35
20260621_uruguay_cape-verde,2026-06-21,Uruguay,Agustín Canobbio,goal,43
20260621_uruguay_cape-verde,2026-06-21,Cape Verde,Hélio Varela,goal,61
20260621_new-zealand_egypt,2026-06-21,New Zealand,Finn Surman,goal,15
20260621_new-zealand_egypt,2026-06-21,Egypt,Zizo,goal,58
20260621_new-zealand_egypt,2026-06-21,Egypt,Mohamed Salah,goal,67
20260621_new-zealand_egypt,2026-06-21,Egypt,Mahmoud Trezeguet,goal,82
20260622_france_iraq,2026-06-22,France,Kylian Mbappé,goal,20
20260622_france_iraq,2026-06-22,France,Kylian Mbappé,goal,50
